KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K192703|Brainlab AG|Chiara  Cunico|Olof-Palme-Str. 9||Munich||DE|81829|81829|09/27/2019|10/08/2020|SESE|NE|HAW|Summary|NE||Traditional|N||Cranial Image Guided Surgery System, Navigation Software Cranial, Navigation Software ENT, Registration Software Cranial, Automatic Registration 2.0, Ultrasound Navigation Software (BK), Intraoperative Structure Update
K192704|HuiZhou Xzing Technology Co., Ltd.|Yonglin  Ni|4th Floor, Building D, S-16-2 Southern park|HuiNan Hi-tech Industrial Park|Huizhou||CN|516000|516000|09/27/2019|09/02/2020|SESE|GU|FDS|Summary|GU||Traditional|N||Endofresh Digestive Endoscopy System
K192707|Fresenius Medical Care Renal Therapies Group, LLC|Denise  Oppermann|920 Winter Street||Waltham|MA|US|02451|02451|09/27/2019|09/21/2020|SESE|GU|KDI|Summary|GU||Traditional|N||Optiflux F180NR Dialyzer
K192717|Intuitive Surgical Inc.|Brandon  Hansen|1266 Kifer Road||Sunnyvale|CA|US|94086|94086|09/27/2019|09/28/2020|SESU|SU|NAY|Summary|GU||Traditional|N||da Vinci SP Surgical System
K192730|BioSystems S.A.|Noelia  Gil|Costa Brava, 30||Barcelona||ES|||09/27/2019|09/09/2020|SESE|CH|CHW|Statement|CH||Traditional|N||CALCIUM-CRESOLPHTHALEIN, GLUCOSE, UREA/BUN-UV
K192814|Surmodics, Inc.|Amy  Yanta|9924 West 74th Street||Eden Prairie|MN|US|55344|55344|10/01/2019|09/21/2020|SESE|CV|QEW|Summary|CV||Traditional|N||Pounce Thrombus Retrieval System
K192822|Caldera Medical, Inc.|Vicki  Gail|5171 Clareton Drive||Agoura Hills|CA|US|91301|91301|10/01/2019|09/09/2020|SESE|OB|HIH|Statement|OB||Traditional|N||Benesta Hysteroscope
K192830|DMP Dental Industry S.A.|Dimitris  Prantsidis|Kalyvion Avenue||Markopoulo||GR|19003|19003|10/02/2019|09/02/2020|SESE|DE|EBG|Statement|DE||Traditional|N||Bright Temporary C&B
K192890|SentiAR, Inc|Berk  Tas|212 Kingshighway Blvd., Suite 115|Mailbox 28|St. Louis|MO|US|63108|63108|10/10/2019|09/18/2020|SESE|CV|LLZ|Summary|RA||Traditional|N||SentEP
K192921|Hemodia SAS|Adeline  Theron|France||Labege||FR|31670|31670|10/16/2019|10/09/2020|SESE|OR|HRX|Summary|OR||Traditional|N||Zeos Aqua Vision Pump and tube
K192949|Flower Orthopedics Corporation|Jessica  Huang|100 Witmer Rd. Suite 280||Horsham|PA|US|19044|19044|10/18/2019|10/07/2020|SESE|OR|MBI|Summary|OR||Traditional|N||Flower Suture Anchor Set
K193115|Euroimmun US, Inc.|Kruti  Shah|1 Bloomfield Ave.||Mountain Lakes|NJ|US|07046|07046|11/12/2019|09/17/2020|SESE|IM|OEG|Statement|IM||Traditional|N||EUROIMMUN Anti-BP230-CF ELISA (IgG)
K193131|Becton, Dickinson and Company|Murtaza  Rana|1 Becton Drive||Franklin Lakes|NJ|US|07417|07417|11/12/2019|09/29/2020|SESE|AN|BSP|Summary|AN||Traditional|N||BD Quincke Spinal NRFit Needle, BD Whitacre Spinal NRFit Needle, BD Spinal Introducer NRFit Needle
K193212|DSM Biomedical|Susan  Pileggi|735 Pennsylvania Drive||Exton|PA|US|19431|19431|11/21/2019|09/10/2020|SESE|DE|NPM|Summary|DE||Traditional|N||DSM Biomedical Dental Bone Graft Plus
K193276|Shenzhen XFT Medical Limited|Julia  Ye|Room 203, Building 1, Biomedicine Innovations Industrial|Park, #14 Jinhui Road|Shenzhen||CN|518118|518118|11/26/2019|09/23/2020|SESE|NE|GZI|Summary|NE||Traditional|N||Nerve and Muscle Stimulator
K193299|BioMerieux, Inc.|Cherece L. Jones|595 Anglum Rd.||Hazelwood|MO|US|63042|63042|11/27/2019|09/28/2020|SESE|MI|LON|Summary|MI||Traditional|N||VITEK 2 AST-Gram Negative Ceftazidime (=<0.5 - =>32 µg/mL)
K193340|MicroTech Medical, Inc.|Dore  Mark|3350 Scott Blvd, Bldg.64||Santa Clara|CA|US|95045|95045|12/02/2019|09/11/2020|SESE|CH|NBW|Summary|CH||Traditional|N||GoChek Blood Glucose Monitoring System, GoChek Connect Blood Glucose Monitoring System
K193341|Dentium Co., Ltd|Sangwoo  Lee|76, Changnyong-daero 256beon-gil, Yeongtong-gu||Suwon-Si||KR|16229|16229|12/03/2019|09/04/2020|SESE|DE|EBW|Summary|DE||Traditional|N||iCTmotor (WL-1)
K193368|WishBone Medical, Inc.|Mary  Wentorf|2150 North Pointe Drive||Warsaw|IN|US|46582|46582|12/05/2019|09/18/2020|SESE|OR|KTT|Summary|OR||Traditional|N||Smart Correction System
K193401|Altatec GmbH|Reto  Pusterla|Maybachstrasse 5||Wimsheim||DE|D-71299|D-71299|12/06/2019|09/29/2020|SESE|DE|DZE|Summary|DE||Traditional|N||Altatec GmbH CAMLOG/CONELOG PROGRESSIVE-LINE Implants
K193405|Dentsply Sirona|Karl  Nittinger|221 West Philadelphia Street, Suite 60W||York|PA|US|17401|17401|12/09/2019|09/02/2020|SESE|DE|NDP|Summary|DE||Traditional|N||Simplant Digital Guide
K193409|Inter-Med/Vista Dental Products|Alex  Johnson|2200 South St. Ste. A||Racine|WI|US|53404|53404|12/09/2019|09/09/2020|SESE|DE|KJJ|Summary|||Traditional|N||Vista Rinse, Vista Rinse Plus
K193410|ImpediMed Limited|Catherine  Kingsford|Unit 1, 50 Parker Court||Pinkenba||AU|4008|4008|12/09/2019|10/02/2020|SESE|GU|DSB|Summary|CV||Traditional|N||SOZO Body Fluid Analyzer
K193424|Boston Scientific Corporation|Elena  Hennessey|100 Boston Scientific Way||Marlborough|MA|US|01752|01752|12/10/2019|09/01/2020|SESE|GU|PKL|Summary|GU||Traditional|N||Resolution 360™ ULTRA Clip
K193439|MEBO Life Science Inc.|Sidney  Hong|325 North Puente Street # A||Brea|CA|US|92821|92821|12/11/2019|09/04/2020|SESE|SU|FRO|Summary|||Traditional|N||MEBO Wound Dressing
K193449|Guangdong Horigen Mother & Baby Products Co., Ltd|Jun  Deng|No. 18, Pingnan Industrial Zone, Mianbei Street,|Chaoyang District|Shantou||CN|515100|515100|12/13/2019|09/11/2020|SESE|OB|HGX|Summary|OB||Traditional|N||Electric Breast Pump (model KP033_01), Electric Double Breast Pump (model KP053_01)
K193462|Inari Medical|Eben  Gordon|9 Parker, Suite 100||Irvine|CA|US|92618|92618|12/16/2019|09/09/2020|SESE|CV|QEW|Summary|CV||Traditional|N||ClotTriever Thrombectomy System
K193474|BIOTRONIK, Inc|Jon  Brumbaugh|6024 Jean Road||Lake Oswego|OR|US|97035|97035|12/16/2019|10/16/2020|SESE|CV|DQY|Summary|CV||Traditional|N||Selectra 3D Outer Guiding Catheters
K193542|Bellco Srl|Rekha  Roveri|Via Camurana 1||Mirandola||IT|41037|41037|12/20/2019|10/08/2020|SESE|GU|KDI|Summary|GU||Traditional|N||Clearum HS Family, Clearum HS Models: HS 13, HS 15, HS 17, HS 20, HS 22
K193546|Biomet Inc.|Jessica  Andreshak|56 East Bell Drive, PO Box 587||Warsaw|IN|US|46581|46581|12/20/2019|09/25/2020|SESE|OR|JDG|Summary|OR||Traditional|N||Distal Centralizers
K193583|Acera Surgical, Inc.|Lily  Jeng|10880 Baur Blvd.||St. Louis|MO|US|63132|63132|12/23/2019|09/25/2020|SESE|SU|FRO|Summary|||Special|N||Restrata®
K193599|21st Century Scientific, Inc.|RD  Davidson|4931 N Manufacturing Way||Coeur d'Alene|ID|US|83815|83815|12/23/2019|09/03/2020|SESE|PM|ITI|Summary|PM||Traditional|N||BOUNDER 300 Power Wheelchair, BOUNDER Plus 300 Power Wheelchair, BOUNDER 450 Power Wheelchair, BIG BOUNDER 600 Power Wheelchair, BIG BOUNDER 1000 Power Wheelchair
K193618|Blue Ortho|Matthieu  Coic|6 Allee de Bethleem||Gieres||FR|38610|38610|12/26/2019|09/02/2020|SESE|OR|OLO|Summary|NE||Traditional|N||ExactechGPS System
K193631|M3DICINE Pty Ltd.|Nayyar  Hussain|Level 1, 88 Brandl Street||Eight Mile Plains||AU|4113|4113|12/27/2019|10/09/2020|SESE|CV|DQD|Summary|CV||Traditional|N||Stethee Pro 1, Stethee Pro Software System
K193655|Self Doctor Care, LLC|Wei  Wei|8811 Teel Pkwy Ste 100, Unit 6141||Frisco|TX|US|75036|75036|12/30/2019|09/04/2020|SESE|NE|NUH|Summary|NE||Traditional|N||MSLS6QF TENS/PMS Device
K193657|Shinva Ande Healthcare Apparatus Co., Ltd.|Xiaolei  Tian|No.77 Development Zone North Road||Zibo||CN|255086|255086|12/30/2019|09/12/2020|SESE|GU|PNR|Summary|GU||Traditional|N||Disposable Enteral Feeding Syringe with Enfit Connector
K193664|HK Surgical|Gary  Mocnik|1271 Puerto del Sol||San Clemente|CA|US|92673|92673|12/31/2019|09/09/2020|SESE|AN|BSO|Summary|AN||Traditional|N||SubQKath Catheter and Needle Set
DEN200002|Tangible Science, Inc.|Kelly  Mabry|740 Broadway||Redwood City|CA|US|94063|94063|01/13/2020|09/24/2020|DENG|OP|QMM||OP||Direct|N||Tangible Boost
DEN200010|Spineology, Inc.|Andrew  Adams|7800 3rd Street North, Suite 600||Saint Paul|MN|US|55128|55128|02/19/2020|09/18/2020|DENG|OR|OQB||OR||Direct|N||Spineology Interbody Fusion System
K200027|Jiangsu Caina Medical Co., Ltd.|Jianwei  Pan|No.23, Huanxi Road, Zhutang Town||Jiangyin||CN|214415|214415|01/06/2020|09/09/2020|SESE|HO|JKA|Summary|CH||Traditional|N||Blood Collection Needle with/without Holder, Safety Blood Collection Needle with/without Holder, Luer Access Device-holder with Preattached Multiple Sample Adapter
K200031|Avalon Biomedical (Shenzhen) Limited|Eva  Zhu|805 Building 4, Yinxing Zhijie, 1301-74, GuanGuang Road,|XinLan Community, GuanLan Street,|Longhua District||CN|518110|518110|01/07/2020|10/05/2020|SESE|HO|LBI|Summary|HO||Traditional|N||Neonatal Phototherapy System
K200045|implantcast, GmbH|Juliane  Hoppner|Luneburger Schanze 26||21614||DE|||01/08/2020|10/16/2020|SESE|OR|MEH|Summary|OR||Traditional|N||MUTARS Cemented Femoral Stems
K200051|Amsino International Inc.|Jane  Gao|708 Corporate Center Drive||Pomona|CA|US|91768|91768|01/10/2020|09/25/2020|SESE|HO|LZH|Summary|HO||Traditional|N||PUGGLE Enteral Feeding Pump and Feeding Set
K200067|Medacta International SA|Stefano  Baj|Strada Regina||Castel San Pietro||CH|CH-6874|CH-6874|01/13/2020|10/01/2020|SESE|OR|HRX|Summary|OR||Traditional|N||MectaScope System
K200076|TF Health Co.|Erik  Herrmann|1761 W. University Dr., Suite 140||Tempe|AZ|US|85281|85281|01/14/2020|09/25/2020|SESE|AN|BZL|Summary|AN||Traditional|N||Breezing Med
K200100|3Shape A/S|Jenny  Axel|Holmens Kanal 7||Copenhagen||DK|1060|1060|01/16/2020|10/07/2020|SESE|DE|PNP|Summary|DE||Traditional|N||Abutment Design
K200102|Dentsply Sirona|Karl  Nittinger|221 W Philadelphia Street, Suite 60W||York|PA|US|17401|17401|01/17/2020|09/03/2020|SESE|DE|DZE|Summary|DE||Traditional|N||MIS Dental Implant System
K200103|Bioteque Corporation|Stella  Hsu|5F-6, No. 23, Sec. 1, Chang’an E. Rd., Zhongshan Dist.||Taipei City||TW|10441|10441|01/17/2020|10/09/2020|SESE|GU|FGE|Summary|GU||Traditional|N||BIOTEQ Drainage Catheter Set (One Step Type)
K200114|BioFilm Inc|Richard  Hines|3225 Executive Ridge||Vista|CA|US|92081|92081|01/21/2020|10/13/2020|SESE|OB|NUC|Summary|OB||Traditional|N||Astroglide Organix Liquid
K200115|NeuroStructures, Inc.|Moti  Altarac|199 Technology Drive, Suite 110||Irvine|CA|US|92618|92618|01/21/2020|09/24/2020|SESE|OR|OVE|Summary|OR||Special|N||Cavetto-SA Cervical Cage System
K200123|Arrowhead DE, LLC|Thomas J. Twardzik|328 Poplar View Lane East, Suite 2||Collierville|TN|US|38017|38017|01/21/2020|09/22/2020|SESE|OR|KTT|Summary|OR||Traditional|N||Accessories for the SixFix® Hexapod Fixator
K200127|FH Industrie|Patricia  Donnard|ZI de Kernevez - 6 rue Nobel||Quimper||FR|29000|29000|01/21/2020|10/01/2020|SESE|OR|HSB|Summary|OR||Traditional|N||TELEGRAPH® EVOLUTION Humeral Nailing System
K200135|RGK Wheelchairs, Ltd.|Devin  McElroy|Units 8 B/C Ring RD 2 Burntwood Business Park||Burntwood||GB|WS7 3JQ|WS7 3JQ|01/21/2020|09/10/2020|SESE|PM|IOR|Summary|PM||Traditional|N||RGK Daily Range Wheelchairs
K200174|Diadent Group International|Kab Sun Lee|16, Osongsaengmyeong 4-ro, Osong-eup, Heungdeok-gu||Cheongju-si||KR|28161|28161|01/23/2020|09/18/2020|SESE|DE|KIF|Summary|DE||Traditional|N||DIA-ROOT BIO MTA
K200207|Carl Zeiss Meditec Cataract Technology Inc.|Gary  Mocnik|8748 Technology Way||Reno|NV|US|89521|89521|01/28/2020|10/15/2020|SESE|OP|HQC|Statement|OP||Traditional|N||xPORT S Lens Fragmentation System
K200212|Innovative Health, LLC.|Rick  Ferreira|1435 North Hayden Road, Suite 100||Scottsdale|AZ|US|85257|85257|01/28/2020|09/03/2020|SESE|CV|MTD|Summary|CV||Traditional|N||Reprocessed Advisor HD Grid Mapping Catheter, Sensor Enabled
K200217|Finemedix Co., Ltd.|H. S. Lee|60, Maeyeo-ro, Dong-gu||Daegu||KR|41065|41065|01/28/2020|10/05/2020|SESE|GU|PKL|Summary|GU||Traditional|N||ClearEndoclip
K200296|Pegavision Corporation|Estela  Lin|2F-1, No.5, Shing Yeh St.||Taoyuan||TW|33341|33341|02/06/2020|10/15/2020|SESE|OP|LPL|Summary|OP||Traditional|N||Pegavision (Etafilcon A) Color Daily Disposable Soft (Hydrophilic) Contact Lenses, Pegavision (Etafilcon A) Color Soft (Hydrophilic) Contact Lenses
K200313|Catheter Precision, Inc.|Steve  Adler|500 International Drive, Suite 255||Mt. Olive|NJ|US|07828|07828|02/06/2020|09/14/2020|SESE|CV|DQK|Summary|CV||Traditional|N||VIVO
K200343|GLW Medical Innovation|Elijah  Wreh|300 Sylvan Ave||Englewood Cliffs|NJ|US|07632|07632|02/11/2020|09/14/2020|SESE|OR|KTT|Summary|OR||Traditional|N||FusionFrame Ring Lock System
K200386|Z-Systems AG|Rubino  DiGirolamo|Werkhofstrasse 5||Oensingen||CH|CH-4702|CH-4702|02/18/2020|10/14/2020|SESE|DE|DZE|Summary|DE||Traditional|N||Z5-BL
K200408|Shenzhen VitaVitro Biotech Co.,Ltd.|Donghai  Pan|R601, Building B, Hai Ke Xing Tech Park, Baoshan Road No. 16||Shenzhen||CN|518118|518118|02/19/2020|10/16/2020|SESE|OB|MQL|Summary|OB||Traditional|N||VitaVitro® Fertilization Medium, VitaVitro® Gamete Buffer Medium, VitaVitro® Flushing Buffer Medium
K200414|Shenzhen Aeon Technology Co., Ltd.|Xie  Hua|RM6H02, Block 27-29, Tianxia IC Industrial Park, Majialong|No.133 of Yiyuan road, Nantou Street, Nanshan District|Shenzhen||CN|518000|518000|02/19/2020|09/23/2020|SESE|AN|DQA|Summary|CV||Traditional|N||Pulse Oximeter
K200416|Bausch & Lomb Incorporated|Pinal  Shah|400 Somerset Corporate Boulevard||Bridgewater|NJ|US|08807|08807|02/20/2020|09/23/2020|SESE|OP|MRC|Summary|OP||Traditional|N||Boston One Step Liquid Enzymatic Cleaner
K200430|NuVasive Specialized Orthopedics, Inc.|Ivanna  Lopez|101 Enterprise, Suite 100||Aliso Viejo|CA|US|92656|92656|02/21/2020|09/16/2020|SESE|OR|HSB|Summary|OR||Traditional|N||Precice® Ankle Salvage System
K200434|Mediana Co., Ltd.|Dana  Mun|132, Donghwagongdan-ro, Munmak-eup||Wonju-si||KR|26365|26365|02/24/2020|10/09/2020|SESE|CV|DXN|Summary|CV||Traditional|N||V20, V20a, AVSM3 SNF
K200462|Belport Company, Inc., Gingi-Pak|Daniel  Wang|4825 Calle Alto,||Camarillo|CA|US|93012|93012|02/25/2020|09/02/2020|SESE|DE|KLE|Summary|DE||Traditional|N||EtchPro Etching Gel
K200469|Genoray Co.,Ltd|Hyunju  Hwang|# 512, 560, Dunchon-daero, Jungwon-gu,||Seongnam-si||KR|13230|13230|02/26/2020|09/16/2020|SESE|RA|OAS|Summary|RA||Traditional|N||PAPAYA 3D Premium & PAPAYA 3D Premium Plus
K200475|Immunodiagnostic Systems Ltd.|Mick  Henderson|10 Didcot Way, Boldon Business Park||Boldon||GB|NE35 9PD|NE35 9PD|02/26/2020|09/30/2020|SESE|CH|CIN|Summary|CH||Traditional|N||IDS-iSYS Ostase BAP
K200503|International Life Sciences|Tiffini  Wittwer|2252 Northwest Parkway SE Suite G||Marietta|GA|US|30067|30067|03/02/2020|09/02/2020|SESE|OR|MBI|Summary|OR||Traditional|N||ATL Anchors
K200510|Vyaire Medical, Inc.|Suzanne  Moreno|26125 N. Riverwoods Blvd.||Mettawa|IL|US|60045|60045|03/02/2020|10/09/2020|SESE|CV|DSA|Summary|CV||Traditional|N||Multi-LinkTM X2 ECG Adapter and Leadwires
K200516|OptoMedical Technologies GmbH|Julia  Behrens|Maria-Goeppert-Strasse 9||Luebeck||DE|23562|23562|03/02/2020|09/02/2020|SESE|OP|OBO|Summary|OP||Traditional|N||OCT-Camera ID 21101A3
K200530|Fresenius Kabi AG|Kim  Forch|3 Corporate Drive||Lake Zurich|IL|US|60047|60047|03/02/2020|09/11/2020|SESE|GU|GKT|Summary|HE||Traditional|N||AMICUS Separator System
K200544|Diamond Diagnostics Inc.|Kathy  Fisher|333 Fiske Street||Holliston|MA|US|01746|01746|03/03/2020|10/01/2020|SESE|CH|CEM|Summary|CH||Traditional|N||SmartLyte® Plus Electrolyte Analyzer Na+/K+/Cl-/Ca++/Li+
K200557|Jiangsu Shenli Medical Production Co., Ltd|Tina  Cai|No. 20, Changzheng Road, Zhenglu||Changzhou City||CN|213111|213111|03/03/2020|09/28/2020|SESE|GU|PNR|Summary|GU||Traditional|N||Enteral Feeding Syringes with ENfit connector (Model: 10 ml; 60 ml control ring)
K200569|RaySearch Laboratories AB (publ)|Viktoria  Hammarstedt|Sveavägen 44||Stockholm||SE|11134|11134|03/04/2020|09/24/2020|SESE|RA|MUJ|Summary|RA||Traditional|N||RayStation
K200595|CellaVision AB|Magnus  Johnsson|Mobilvagen 12||Lund||SE|22362|22362|03/06/2020|10/16/2020|SESE|HE|JOY|Summary|HE||Traditional|N||CellaVision DC-1, CellaVision DC-1 PPA
K200596|Icotec AG|Marina  Hess|Industriestrasse 12||9450 Altstaetten||CH|||03/06/2020|10/13/2020|SESE|OR|PML|Summary|OR||Traditional|N||G21 Cement, VADER® Pedicle System
K200603|Philips Ultrasound, Inc|Hebe  Sun|22100 Bothell Everett Highway||Bothell|WA|US|98021-8431|98021-8431|03/09/2020|09/20/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||AAA Model
K200623|Sk bioland Co., Ltd.|Yeonjeong  Chae|162, Gwahaksaneop 3-ro, Ochang-eup, Cheongwon-gu||Cheongju-si||KR|28125|28125|03/09/2020|10/02/2020|SESE|DE|NPL|Summary|DE||Traditional|N||OssGuide
K200633|0 & M Halyard, Inc|Steven  Dowdley|5405 Windward Parkway||Alpharetta|GA|US|30004|30004|03/10/2020|10/11/2020|SESE|HO|LZC|Summary|HO||Abbreviated|N||Halyard Black-Fire Powder-Free Nitrile Exam Glove, Halyard Purple Powder-Free Nitrile Exam Glove
K200641|ATTWILL Medical Solutions|Attilio  Di Fiore|925 Development Drive||Lodi|WI|US|53555|53555|03/11/2020|09/03/2020|SESE|SU|FRO|Summary|||Traditional|N||HaloGUARD Protective Disc with CHG
K200661|Magnolia Medical Technologies Inc.|Gregory J. Bullington|200 West Mercer Street, Suite 500||Seattle|WA|US|98119|98119|03/12/2020|10/08/2020|SESE|HO|FPA|Summary|HO||Special|N||Steripath Micro Blood Collection System
K200682|GC America Inc.|Mark  Heiss|3737 W. 127th Street||Alsip|IL|US|60803|60803|03/16/2020|10/02/2020|SESE|DE|KLE|Summary|DE||Traditional|N||BZF-29
K200708|GE Medical Systems Ultrasound and|Tracey  Ortiz|Primary Care Diagnostics, LLC|9900 W. Innovation Drive|Wauwatosa|WI|US|53226|53226|03/18/2020|09/09/2020|SESE|RA|IYN|Summary|RA||Traditional|N||Vivid iq
K200710|Andon Health Co., Ltd.|Liu  Yi|No. 3 Jin Ping Street,Ya An Road, Nankai District||Tianjin||CN|300190|300190|03/18/2020|10/01/2020|SESE|HO|FLL|Summary|HO||Abbreviated|N||Infrared PT2L Digital No-Touch Thermometer
K200718|Arthrosurface, Inc.|Dawn J. Wilson|28 Forge Parkway||Franklin|MA|US|02038|02038|03/19/2020|10/15/2020|SESE|OR|JWJ|Summary|OR||Traditional|N||Arthrosurface WristMotion Total Wrist Arthroplasty System
K200724|Technolas Perfect Vision GmbH|Friedrich  Moritz|Messerschmittstr. 1 + 3||Munich||DE|80992|80992|03/19/2020|09/01/2020|SESE|OP|OOE|Summary|OP||Traditional|N||VICTUS Femtosecond Laser Platform
